Currency,Date,Open,High,Low,Close,OHLCVolatility
INR,2024-01-01,68.7601,68.8909,68.2362,70.2831,0.1383
INR,2024-01-02,68.0292,69.0188,67.4455,67.5597,0.1771
INR,2024-01-03,67.7999,67.7671,67.4789,65.8866,0.0638
INR,2024-01-04,67.7011,67.3946,67.3439,66.793,0.0794
INR,2024-01-05,69.729,69.8161,69.4952,68.3042,0.1228
INR,2024-01-08,68.3743,67.9988,67.9864,67.7736,0.1354
INR,2024-01-09,67.6616,68.7878,67.4684,66.6039,0.1911
INR,2024-01-10,67.0425,67.3469,67.8223,65.7143,0.1598
INR,2024-01-11,69.0018,69.2875,68.8596,68.7007,0.0761
INR,2024-01-12,67.5435,67.5132,66.8149,67.8871,0.0618
INR,2024-01-15,68.5874,68.5949,68.7259,69.1991,0.2015
INR,2024-01-16,69.1946,68.975,69.1492,69.5259,0.1988
INR,2024-01-17,67.7842,67.8913,68.1373,66.588,0.1906
INR,2024-01-18,69.6196,69.7836,68.9178,69.9812,0.1177
INR,2024-01-19,68.6247,69.5938,68.4426,70.1894,0.019
INR,2024-01-22,69.0852,69.3288,69.0347,69.177,0.0506
INR,2024-01-23,68.0437,68.4222,67.1047,67.5254,0.1096
INR,2024-01-24,67.7616,68.4193,67.3972,67.2318,0.1757
INR,2024-01-25,68.3604,69.0447,68.5114,68.0328,0.1304
INR,2024-01-26,66.7998,67.1479,66.4693,66.8049,0.1383
INR,2024-01-29,66.848,66.8376,66.8193,66.0457,0.1419
INR,2024-01-30,68.6674,69.8105,68.3801,68.9249,0.1463
INR,2024-01-31,66.3446,66.5313,66.1145,68.8078,0.1404
INR,2024-02-01,68.5649,68.7475,68.9492,69.7077,0.1876
INR,2024-02-02,69.0544,68.7997,68.153,67.6525,0.1793
INR,2024-02-05,70.4538,70.1585,70.5369,70.5534,0.1248
INR,2024-02-06,66.7127,66.947,67.0438,67.1863,0.104
INR,2024-02-07,69.8133,69.6216,69.7743,70.6268,0.0885
INR,2024-02-08,68.4908,69.3444,69.0945,68.6754,0.163
INR,2024-02-09,69.0452,68.6267,69.5054,69.5671,0.1648
INR,2024-02-12,68.5138,68.8871,68.6538,68.7461,0.1647
INR,2024-02-13,67.549,68.6819,67.1121,66.3577,0.1828
INR,2024-02-14,67.2887,67.8822,66.5094,66.468,0.1982
INR,2024-02-15,68.6761,69.2871,67.5277,68.4307,0.1123
INR,2024-02-16,67.3738,67.1659,67.2124,67.715,0.1638
